Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,1474,1329,139,94,4,24,45,14,16,8,8,0,1218,6,31
46,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,8.9,272,262,8,2,1,2,12,4,0,0,0,0,208,2,13
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35,1988,3.6,138,125,13,1,0,1,4,12,0,0,0,0,103,0,2
48,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,1674,1582,91,34,0,12,3,3,0,0,0,0,1440,1,20
49,Owen Beck,wls WAL,DF,Liverpool,20,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
50,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,835,783,48,15,2,3,13,29,0,0,0,0,645,4,23
52,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25,1998,10.6,314,297,15,4,1,0,30,1,6,3,3,0,241,2,11
53,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,4.7,139,129,7,1,1,0,0,0,0,0,0,0,92,3,7
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,27,1995,6.9,257,253,2,2,5,0,17,0,0,0,0,0,193,2,9
55,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,800,786,10,9,4,0,9,0,0,0,0,0,674,4,26
56,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,144,98,46,13,0,0,0,0,0,0,0,0,96,0,0
57,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,32,1990,13.2,544,465,77,28,4,5,70,7,39,18,12,5,396,2,14
58,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,1562,1529,31,21,7,10,12,1,0,0,0,0,1376,2,14
59,Luke Berry,eng ENG,"MF,DF",Luton Town,31,1992,3.6,99,83,16,4,0,0,8,2,6,5,1,0,64,0,3
60,Beto,gw GNB,FW,Everton,25,1998,10.6,180,179,1,0,1,1,5,1,0,0,0,0,108,0,6
61,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9
62,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17
63,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,1842,1787,51,48,3,4,1,3,0,0,0,0,1689,4,19
64,Benicio Boaitey,eng ENG,"FW,DF",Brighton,19,2004,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0
65,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,177,169,8,3,3,0,5,4,1,0,0,0,155,0,5
66,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31.0,968,802,164,8,1,3,40,155,0,0,0,0,684,2,32
67,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16.0,671,597,71,15,1,1,1,56,0,0,0,0,503,3,10
68,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,1017,981,36,32,0,5,0,2,0,0,0,0,921,0,3
69,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,702,641,59,2,5,3,75,3,32,27,0,0,484,2,52
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,530,445,85,10,3,1,18,75,0,0,0,0,419,0,16
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,1385,1366,13,6,0,6,1,7,0,0,0,0,1105,6,12
72,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,265,246,19,0,0,0,9,4,1,0,0,0,200,0,8
73,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,76,73,3,0,0,0,3,0,0,0,0,0,52,0,1
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,94,87,7,1,0,0,1,0,0,0,0,0,83,0,0
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,27,26,1,0,0,0,1,0,0,0,0,0,19,0,1
76,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,261,252,9,2,0,2,8,5,0,0,0,0,196,0,12
77,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6
78,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,247,238,7,0,0,0,10,6,0,0,0,0,136,2,18
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,1106,998,103,29,4,3,57,16,50,23,8,2,850,5,18
80,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,526,455,69,15,1,3,62,5,46,14,17,2,378,2,18
81,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,406,358,46,1,0,1,29,45,0,0,0,0,318,2,18
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,480,468,12,7,0,1,2,2,0,0,0,0,426,0,5
83,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,719,689,29,9,0,2,13,20,0,0,0,0,547,1,15
85,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,1667,1471,190,38,1,4,11,150,0,0,0,0,1351,6,25
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,2119,2065,45,39,12,12,10,3,0,0,0,0,1907,9,29
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,1272,1239,27,15,2,1,25,0,2,1,1,0,1126,6,13
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,440,437,1,0,1,0,3,1,0,0,0,0,248,2,15
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,1340,1293,47,41,0,6,1,0,0,0,0,0,1184,0,4
92,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,1425,1385,34,28,4,6,13,0,0,0,0,0,1165,6,18
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55
97,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,783,746,36,13,1,0,0,22,0,0,0,0,700,1,1
99,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,1.7,113,113,0,0,0,1,0,0,0,0,0,0,100,0,2
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0
101,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19
102,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1
104,Tahith Chong,nl NED,"MF,FW",Luton Town,23,1999,22.0,550,515,31,4,5,6,35,11,0,0,0,0,428,4,21
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26
106,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,49,49,0,0,0,0,0,0,0,0,0,0,38,0,2
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,513,475,36,13,1,6,23,5,0,0,0,0,369,2,18
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,600,539,58,3,0,0,9,55,0,0,0,0,495,3,16
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25
114,Jack Cork,eng ENG,MF,Burnley,34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2
115,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2
116,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56
117,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0
118,Aaron Cresswell,eng ENG,"DF,FW",West Ham,33,1989,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,1196,1043,153,30,1,2,16,123,0,0,0,0,1036,0,26
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19
121,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19
122,Sam Curtis,ie IRL,DF,Sheffield Utd,17,2005,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,1
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6
