Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
62,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,3,1,0,19,12,0,29,20,16,0,0,0,76,36,24,60.0
63,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,10,2,1,35,31,0,1,37,52,0,0,0,128,14,15,48.3
64,Benicio Boaitey,eng ENG,"FW,DF",Brighton,19,2004,0.4,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,
65,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,0,0,0,2,3,0,5,5,3,0,0,0,17,1,2,33.3
66,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31.0,9,0,0,38,22,4,40,32,36,0,0,1,139,50,28,64.1
67,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16.0,3,1,1,20,2,1,1,25,29,0,0,0,86,57,26,68.7
68,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,2,0,0,9,2,1,0,9,13,0,1,1,70,34,17,66.7
69,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,2,0,0,28,42,20,75,19,28,0,0,0,118,33,70,32.0
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,2,0,0,8,12,2,18,10,25,0,0,1,50,11,5,68.8
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,8,0,0,25,19,5,1,50,32,1,1,0,181,94,43,68.6
72,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,3,0,0,11,19,11,9,3,4,1,0,0,39,7,23,23.3
73,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,0,1,0,5,5,1,3,1,1,0,0,0,9,4,19,17.4
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,0,0,0,4,8,6,1,0,0,1,0,0,13,4,14,22.2
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,0,0,0,5,3,0,1,0,0,0,0,0,3,6,9,40.0
76,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,1,0,0,11,9,0,8,14,13,0,0,0,45,11,14,44.0
77,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,1,0,0,6,1,1,15,2,4,0,0,0,17,1,6,14.3
78,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,4,0,0,19,19,6,10,8,12,0,0,0,56,43,54,44.3
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,4,1,0,38,24,2,57,34,35,0,1,0,124,34,33,50.7
80,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,1,0,0,13,7,11,62,7,4,0,0,0,64,12,28,30.0
81,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,1,0,0,7,6,1,29,6,14,0,0,1,37,9,12,42.9
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,1,0,0,10,5,0,2,6,7,0,0,0,30,15,26,36.6
83,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,7,0,0,34,41,3,6,8,22,0,0,0,66,6,16,27.3
