Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
194,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,1,0,0,28,38,8,21,14,17,0,0,0,81,32,27,54.2
195,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,9,1,1,83,64,1,64,43,52,0,0,0,221,25,28,47.2
196,Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,8,0,0,35,31,0,11,28,44,0,0,0,174,13,9,59.1
197,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,28.5,4,0,0,20,54,15,58,18,15,2,0,0,106,6,25,19.4
198,James Garner,eng ENG,MF,Everton,22,2001,33.4,7,0,0,39,44,3,112,45,44,0,0,0,172,23,24,48.9
199,Saman Ghoddos,ir IRN,DF,Brentford,29,1993,8.2,5,0,0,13,9,2,42,5,19,0,0,0,39,4,12,25.0
200,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23,2000,35.1,9,0,0,37,57,6,182,17,24,0,0,0,179,60,68,46.9
201,Bryan Gil,es ESP,"FW,MF",Tottenham,22,2001,2.3,0,0,0,2,3,1,11,3,0,0,0,0,16,0,3,0.0
202,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,1,0,0,4,0,0,1,3,0,0,0,0,9,2,4,33.3
203,Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,8,1,0,22,30,0,34,11,16,0,0,0,132,11,20,35.5
204,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,2,0,0,8,6,2,21,16,20,0,1,0,45,25,24,51.0
205,André Gomes,pt POR,"MF,FW",Everton,30,1993,5.6,4,0,0,17,5,0,26,3,4,0,0,0,34,1,8,11.1
206,João Gomes,br BRA,MF,Wolves,22,2001,29.4,11,0,0,66,38,1,25,18,74,0,2,0,183,18,25,41.9
207,Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,7,0,0,38,13,2,13,26,25,0,0,0,136,56,30,65.1
208,Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,5,0,0,28,16,0,39,19,31,0,0,0,111,31,10,75.6
209,Sergio Gómez,es ESP,"FW,MF",Manchester City,22,2000,0.6,0,0,0,2,0,1,4,1,0,0,0,0,1,0,1,0.0
210,Enso Gonzalez,py PAR,"MF,DF",Wolves,18,2005,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
211,Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,32.1,12,1,1,38,67,8,111,7,34,6,0,0,125,9,17,34.6
212,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
213,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
214,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,0,0,0,20,15,0,4,14,12,0,0,0,74,10,14,41.7
215,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,8.6,1,0,0,0,2,0,0,0,0,0,0,0,6,7,0,100.0
216,Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,11.2,6,0,0,6,41,2,16,6,8,0,0,0,42,3,4,42.9
217,Pascal Groß,de GER,"MF,DF",Brighton,32,1991,34.6,6,0,0,23,27,3,238,22,46,0,1,0,144,14,17,45.2
218,Marc Guéhi,eng ENG,DF,Crystal Palace,23,2000,22.5,2,0,0,14,26,0,3,18,19,0,0,0,120,29,29,50.0
219,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,36.3,9,0,0,50,108,0,32,35,53,0,0,0,237,18,23,43.9
220,Malo Gusto,fr FRA,DF,Chelsea,20,2003,19.5,7,1,0,22,30,6,64,17,27,0,1,0,126,8,19,29.6
221,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,3,0,0,20,22,2,33,27,33,1,0,0,150,31,24,56.4
222,Erling Haaland,no NOR,FW,Manchester City,23,2000,28.4,1,0,0,18,31,6,5,2,3,2,0,0,47,39,42,48.1
223,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
224,Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,8.7,2,0,0,5,5,0,23,12,18,0,0,0,56,10,11,47.6
225,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,9,0,0,50,17,6,115,29,21,0,1,0,162,6,16,27.3
226,Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,0,0,0,2,2,0,0,0,1,0,0,0,3,0,0,
227,Jack Harrison,eng ENG,"MF,FW",Everton,26,1996,24.6,1,0,0,20,30,1,81,12,22,0,0,0,129,10,19,34.5
228,Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,6.6,0,0,0,10,6,0,9,8,5,0,0,2,26,12,12,50.0
229,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,29.3,11,0,0,49,44,15,12,20,15,1,0,0,122,102,101,50.2
230,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,4,0,0,14,17,0,4,30,26,0,1,0,130,66,34,66.0
231,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,23.5,6,0,0,31,32,15,11,10,10,1,1,0,75,7,44,13.7
232,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,2,0,0,0,2,0,0,0,1,0,0,1,14,4,0,100.0
233,Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,1,0,0,4,6,2,11,5,5,0,0,0,24,4,5,44.4
234,Son Heung-min,kr KOR,FW,Tottenham,31,1992,32.6,1,0,0,12,39,20,36,8,13,1,1,1,80,5,16,23.8
235,Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,5,0,0,10,16,0,5,3,9,0,0,0,42,1,9,10.0
236,James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,0,0,0,1,0,0,0,3,2,0,0,0,7,4,1,80.0
237,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,1,0,0,11,3,1,10,14,5,0,1,0,33,7,8,46.7
238,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,3,1,0,8,4,0,7,11,7,0,1,0,30,9,7,56.3
239,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,0,0,0,14,30,9,74,7,8,1,0,0,98,2,7,22.2
240,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21.0,6,0,0,39,30,1,30,21,33,0,0,0,121,12,17,41.4
241,Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,14.6,4,0,0,20,17,0,14,19,18,0,0,1,121,8,13,38.1
242,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24.0,2,0,0,20,30,15,6,1,7,0,1,0,60,25,65,27.8
243,Igor,br BRA,DF,Brighton,25,1998,18.2,4,0,0,21,4,0,1,14,18,0,0,0,105,26,12,68.4
244,Danny Ings,eng ENG,FW,West Ham,31,1992,4.5,1,0,0,4,6,1,1,3,2,1,0,0,12,3,9,25.0
245,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,0,0,0,9,3,0,0,2,5,0,0,0,15,1,0,100.0
246,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,25.1,1,0,0,14,15,17,10,6,0,1,0,0,38,10,39,20.4
247,Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,0,0,0,0,0,3,10,1,0,0,0,0,5,0,0,
248,Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,24.4,2,0,0,12,5,5,60,14,18,0,0,0,145,6,19,24.0
249,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,10,0,0,28,40,28,5,4,13,0,0,0,98,35,63,35.7
250,Reece James,eng ENG,DF,Chelsea,23,1999,4.7,2,2,1,4,5,2,28,3,9,0,0,0,28,8,5,61.5
251,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,8,0,0,27,28,3,59,36,38,1,0,0,189,34,26,56.7
252,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
253,Mathias Jensen,dk DEN,MF,Brentford,27,1996,24.5,5,0,0,28,19,2,113,23,32,1,0,0,123,5,11,31.3
254,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,16.4,6,0,0,26,32,16,9,13,17,1,0,0,59,15,38,28.3
255,Raúl Jiménez,mx MEX,FW,Fulham,32,1991,15.5,3,1,0,17,21,12,7,4,12,0,0,0,43,44,59,42.7
256,João Pedro,br BRA,"FW,MF",Brighton,21,2001,22.7,2,0,0,19,60,11,29,11,14,2,0,0,65,41,22,65.1
257,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,14.2,6,0,0,28,23,0,2,19,27,0,0,0,85,18,31,36.7
258,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,5.6,0,0,0,2,2,0,49,4,6,0,0,0,21,3,0,100.0
259,Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,6.0,1,0,0,3,7,1,31,5,7,0,0,0,49,7,12,36.8
260,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,3,0,0,17,29,12,68,10,15,0,0,0,75,5,16,23.8
261,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,0,0,0,1,7,1,2,0,1,0,0,0,11,1,2,33.3
262,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,0.9,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0
263,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,1,0,0,1,0,0,0,1,0,0,1,0,13,2,1,66.7
264,Curtis Jones,eng ENG,MF,Liverpool,22,2001,13.0,3,1,0,16,14,5,4,7,14,0,0,0,72,7,12,36.8
265,Jorginho,it ITA,MF,Arsenal,31,1991,10.2,1,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50.0
266,Diogo Jota,pt POR,FW,Liverpool,26,1996,12.7,3,1,1,27,21,3,9,7,13,2,0,0,48,17,38,30.9
267,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,4.4,1,0,0,6,2,0,0,8,5,0,0,0,25,11,5,68.8
268,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,0.5,0,0,0,0,0,0,3,0,0,0,0,0,4,1,1,50.0
269,Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,12.1,4,0,0,11,6,3,8,12,12,0,0,0,67,26,23,53.1
270,Issa Kaboré,bf BFA,DF,Luton Town,22,2001,19.2,7,0,0,27,30,2,66,16,28,0,0,1,102,17,18,48.6
271,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,1.8,0,0,0,6,4,2,1,1,2,0,0,0,4,8,4,66.7
272,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,18.4,7,1,0,35,29,0,2,21,29,0,0,0,97,19,25,43.2
273,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,3.7,1,0,0,4,2,0,0,4,1,0,0,0,12,6,2,75.0
274,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,3,0,0,0,3,0,0,0,1,0,0,0,63,4,0,100.0
275,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
276,Michael Keane,eng ENG,DF,Everton,30,1993,4.9,2,0,0,5,0,0,0,5,3,0,1,0,26,16,11,59.3
277,Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,0.2,2,0,0,2,0,0,0,0,1,0,0,0,0,1,2,33.3
278,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,100.0
279,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,17.3,2,0,0,17,13,0,21,13,19,0,1,0,121,28,18,60.9
280,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
281,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,4,1,0,25,21,1,55,20,26,1,0,1,93,18,31,36.7
282,Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
283,Max Kilman,eng ENG,DF,Wolves,26,1997,38.0,7,0,0,38,18,2,6,39,21,0,1,0,177,86,36,70.5
284,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,10.5,1,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,21.3,5,0,0,52,28,5,29,8,14,0,0,0,88,12,22,35.3
286,Luca Koleosho,it ITA,"MF,FW",Burnley,18,2004,10.8,0,0,0,18,13,8,23,2,4,1,0,0,46,2,27,6.9
287,Ibrahima Konaté,fr FRA,DF,Liverpool,24,1999,17.5,5,1,1,25,13,0,1,20,22,0,0,0,97,77,31,71.3
288,Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,34.1,5,0,0,14,64,0,17,28,32,1,1,0,142,30,14,68.2
289,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33,1989,2.4,2,0,0,6,2,0,0,2,5,0,0,0,14,10,10,50.0
290,Mateo Kovačić,hr CRO,MF,Manchester City,29,1994,17.2,4,0,0,17,15,0,0,10,25,0,0,0,72,4,4,50.0
291,Emil Krafth,se SWE,DF,Newcastle Utd,28,1994,10.1,2,0,0,10,7,0,17,9,14,0,0,0,44,13,15,46.4
292,Mohammed Kudus,gh GHA,"FW,MF",West Ham,22,2000,27.6,6,0,0,39,75,16,94,11,47,1,1,0,212,15,29,34.1
293,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,7,0,0,54,29,10,89,18,33,0,1,0,133,7,15,31.8
294,Adam Lallana,eng ENG,"MF,FW",Brighton,35,1988,9.4,2,0,0,8,11,2,7,3,3,0,0,0,22,3,5,37.5
295,Tariq Lamptey,gh GHA,"DF,FW",Brighton,22,2000,10.2,3,0,0,11,18,3,31,6,14,0,1,0,32,4,9,30.8
296,Aymeric Laporte,es ESP,DF,Manchester City,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
297,Yasser Larouci,dz ALG,DF,Sheffield Utd,22,2001,5.9,1,0,0,5,5,1,6,7,9,0,0,0,34,1,4,20.0
298,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29,1993,12.0,4,0,0,17,2,1,1,5,9,0,0,0,53,47,24,66.2
299,Roméo Lavia,be BEL,MF,Chelsea,19,2004,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
300,Mario Lemina,ga GAB,MF,Wolves,29,1993,33.0,12,1,1,43,24,8,15,41,58,0,0,0,199,35,41,46.1
301,Clément Lenglet,fr FRA,DF,Aston Villa,28,1995,12.8,3,0,0,3,12,0,3,7,9,0,0,0,37,15,11,57.7
302,Bernd Leno,de GER,GK,Fulham,31,1992,38.0,3,0,0,0,3,0,0,0,0,0,0,1,58,10,1,90.9
303,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,28,1994,26.7,8,0,0,43,25,4,14,36,25,0,0,0,174,69,33,67.6
304,Rico Lewis,eng ENG,"DF,MF",Manchester City,18,2004,9.0,1,0,0,7,20,0,1,4,7,0,0,0,42,0,6,0.0
305,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,22,2001,16.0,0,0,0,9,18,3,50,7,7,0,0,0,62,15,22,40.5
306,Victor Lindelöf,se SWE,DF,Manchester Utd,29,1994,14.8,2,0,0,15,2,3,1,12,10,0,0,0,75,17,24,41.5
307,Valentino Livramento,eng ENG,DF,Newcastle Utd,20,2002,14.6,1,0,0,3,28,1,26,25,13,0,0,0,85,12,8,60.0
308,Giovani Lo Celso,ar ARG,MF,Tottenham,27,1996,5.6,2,0,0,12,26,1,13,5,13,0,1,0,46,1,5,16.7
309,Tom Lockyer,wls WAL,DF,Luton Town,28,1994,13.0,4,0,0,15,10,0,1,23,16,0,1,1,89,31,16,66.0
310,Sean Longstaff,eng ENG,MF,Newcastle Utd,25,1997,30.5,7,0,0,24,34,2,25,17,30,0,0,0,120,18,22,45.0
311,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,26,1997,5.6,1,0,0,7,3,1,8,5,10,0,0,0,7,5,11,31.3
312,Douglas Luiz,br BRA,MF,Aston Villa,25,1998,33.3,12,0,0,51,41,0,115,23,38,0,0,0,184,25,18,58.1
313,Saša Lukić,rs SRB,MF,Fulham,26,1996,12.5,3,0,0,27,9,0,4,16,19,0,0,0,65,11,8,57.9
314,Ian Maatsen,nl NED,"FW,MF",Chelsea,21,2002,2.3,1,0,0,5,1,0,8,3,2,0,0,0,11,3,5,37.5
315,Alexis Mac Allister,ar ARG,MF,Liverpool,24,1998,28.9,7,1,0,53,47,0,32,35,55,0,0,0,195,31,28,52.5
316,James Maddison,eng ENG,MF,Tottenham,26,1996,23.7,5,0,0,21,74,2,133,13,19,0,0,0,60,3,6,33.3
317,Noni Madueke,eng ENG,FW,Chelsea,21,2002,11.7,2,0,0,8,19,3,22,4,10,2,0,0,54,7,10,41.2
318,Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,33.8,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4
319,Harry Maguire,eng ENG,DF,Manchester Utd,30,1993,18.4,4,0,0,21,10,6,3,25,17,1,0,0,78,69,19,78.4
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18,2005,21.4,3,0,0,15,23,0,6,22,27,0,0,0,96,19,26,42.2
321,Orel Mangala,be BEL,MF,Nott'ham Forest,25,1998,17.4,6,0,0,23,21,0,2,26,13,0,0,0,74,9,3,75.0
322,Benson Manuel,ao ANG,"MF,FW",Burnley,26,1997,1.3,0,0,0,1,4,0,9,0,2,0,0,0,6,0,4,0.0
323,Solly March,eng ENG,"FW,DF",Brighton,29,1994,6.2,1,0,0,12,8,7,21,11,14,0,0,0,36,6,4,60.0
324,Anthony Martial,fr FRA,FW,Manchester Utd,27,1995,5.0,0,0,0,3,6,3,0,0,1,1,0,0,9,8,18,30.8
325,Gabriel Martinelli,br BRA,FW,Arsenal,22,2001,22.4,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6
326,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,33.5,4,0,0,1,7,0,0,0,0,0,0,2,48,5,0,100.0
327,Lisandro Martínez,ar ARG,DF,Manchester Utd,25,1998,7.2,3,0,0,6,3,0,2,5,8,0,0,1,33,4,5,44.4
328,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,22,2001,0.2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0
329,Pape Matar Sarr,sn SEN,MF,Tottenham,20,2002,23.0,9,0,0,32,17,0,25,31,24,0,0,0,144,24,27,47.1
330,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,26,1997,25.4,3,0,0,35,22,24,20,4,15,2,0,0,81,50,68,42.4
331,Joël Matip,cm CMR,DF,Liverpool,31,1991,8.7,2,0,0,7,3,1,0,9,6,0,0,1,58,28,10,73.7
332,Alex Matos,eng ENG,MF,Chelsea,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
333,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
334,Neal Maupay,fr FRA,FW,Brentford,26,1996,14.7,8,0,0,19,26,4,8,2,7,0,0,0,60,14,41,25.5
335,Neal Maupay,fr FRA,FW,Everton,26,1996,1.2,0,0,0,1,0,2,0,0,0,0,0,0,4,0,2,0.0
336,Konstantinos Mavropanos,gr GRE,DF,West Ham,25,1997,16.7,2,0,0,15,10,0,1,23,16,0,0,2,70,44,23,65.7
337,Bryan Mbeumo,cm CMR,FW,Brentford,23,1999,21.8,2,0,0,22,42,3,92,7,10,0,0,0,93,23,44,34.3
338,James Mcatee,eng ENG,"MF,FW",Sheffield Utd,20,2002,20.2,2,0,0,15,29,1,36,11,21,0,0,0,96,10,31,24.4
339,James Mcatee,eng ENG,MF,Manchester City,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
340,Oliver McBurnie,sct SCO,FW,Sheffield Utd,27,1996,14.2,7,2,2,19,27,4,5,5,7,1,0,0,41,110,113,49.3
341,James McConnell,eng ENG,MF,Liverpool,18,2004,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,
342,John McGinn,sct SCO,"MF,FW",Aston Villa,28,1994,33.3,9,1,0,39,69,2,74,21,35,0,0,0,161,9,19,32.1
343,Scott McKenna,sct SCO,DF,Nott'ham Forest,26,1996,4.6,0,0,0,3,2,0,0,5,0,0,0,0,25,20,3,87.0
344,Dwight McNeil,eng ENG,"MF,FW",Everton,23,1999,32.1,2,0,0,18,33,4,229,22,27,0,0,0,177,16,20,44.4
345,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,26,1996,21.1,2,0,0,29,21,6,4,14,25,0,1,0,91,36,43,45.6
346,Ben Mee,eng ENG,DF,Brentford,33,1989,14.1,1,1,0,7,3,1,5,13,15,0,0,0,67,35,32,52.2
347,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,20,2003,1.5,1,0,0,5,6,1,1,0,3,0,0,0,10,2,4,33.3
348,Teden Mengi,eng ENG,DF,Luton Town,21,2002,27.4,3,0,0,35,7,1,2,57,22,0,1,0,126,60,43,58.3
349,Chris Mepham,wls WAL,DF,Bournemouth,25,1997,6.9,2,0,0,15,2,0,1,7,11,0,0,0,31,29,20,59.2
350,Lewis Miley,eng ENG,MF,Newcastle Utd,17,2006,13.4,1,0,0,5,6,2,11,8,21,0,0,0,78,11,12,47.8
351,James Milner,eng ENG,"DF,MF",Brighton,37,1986,8.6,3,0,0,10,4,3,29,8,14,0,1,0,45,6,13,31.6
352,Tyrone Mings,eng ENG,DF,Aston Villa,30,1993,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0
353,Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,23,1999,35.6,6,0,0,22,16,1,69,26,60,0,0,0,208,21,26,44.7
354,Kaoru Mitoma,jp JPN,FW,Brighton,26,1997,16.5,4,0,0,14,23,7,44,5,6,0,0,0,68,11,11,50.0
355,Aleksandar Mitrović,rs SRB,FW,Fulham,28,1994,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7
356,Jakub Moder,pl POL,"MF,DF",Brighton,24,1999,6.9,2,0,0,8,5,2,6,2,10,0,0,0,40,3,5,37.5
357,Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,26,1997,8.9,5,0,0,6,1,2,16,9,19,0,1,0,42,12,8,60.0
358,Kieffer Moore,wls WAL,"FW,MF",Bournemouth,30,1992,1.2,0,0,0,5,2,0,2,0,0,0,0,0,4,6,6,50.0
359,Mikey Moore,eng ENG,MF,Tottenham,15,2007,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
360,Álex Moreno,es ESP,DF,Aston Villa,30,1993,11.5,2,0,0,11,16,2,37,13,12,0,0,1,40,4,10,28.6
361,Carlton Morris,eng ENG,"FW,MF",Luton Town,27,1995,31.8,4,0,0,49,43,9,15,1,8,0,0,0,71,133,169,44.0
362,Mason Mount,eng ENG,"MF,FW",Manchester Utd,24,1999,5.7,2,0,0,10,9,0,14,6,14,0,0,0,37,6,9,40.0
363,Divin Mubama,eng ENG,FW,West Ham,18,2004,0.9,0,0,0,1,1,0,0,0,0,0,0,0,4,4,5,44.4
364,Mykhailo Mudryk,ua UKR,FW,Chelsea,22,2001,17.5,5,0,0,22,27,1,78,9,12,2,0,0,50,7,13,35.0
365,Rodrigo Muniz,br BRA,FW,Fulham,22,2001,17.7,1,0,0,24,34,4,2,6,3,0,0,0,34,74,109,40.4
366,Daniel Muñoz,co COL,"DF,MF",Crystal Palace,27,1996,16.0,4,0,0,30,8,8,11,24,35,0,0,0,76,26,28,48.1
367,Finley Munroe,eng ENG,MF,Aston Villa,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
368,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,0,0,0,0,3,0,0,0,1,0,0,1,21,3,0,100.0
369,Murillo,br BRA,DF,Nott'ham Forest,21,2002,31.0,5,0,0,38,7,0,4,37,31,0,0,1,146,38,40,48.7
370,Alex Murphy,ie IRL,"DF,FW",Newcastle Utd,19,2004,0.1,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,
371,Jacob Murphy,eng ENG,"FW,DF",Newcastle Utd,28,1995,13.2,1,0,0,7,15,1,77,6,10,0,0,0,66,4,10,28.6
372,Vitaliy Mykolenko,ua UKR,DF,Everton,24,1999,27.4,1,0,0,23,9,1,56,36,38,0,0,0,142,30,27,52.6
373,Marvelous Nakamba,zw ZIM,MF,Luton Town,29,1994,12.6,5,0,0,24,9,0,4,11,24,0,0,0,90,4,7,36.4
374,Michael Ndiweni,eng ENG,FW,Newcastle Utd,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
375,Reiss Nelson,eng ENG,FW,Arsenal,23,1999,3.0,1,0,0,5,6,0,14,1,6,0,0,0,22,0,5,0.0
376,Zack Nelson,eng ENG,"MF,DF",Luton Town,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
377,Neto,br BRA,GK,Bournemouth,34,1989,32.0,5,0,0,1,0,0,0,1,0,0,0,0,38,9,0,100.0
378,Pedro Neto,pt POR,"FW,MF",Wolves,23,2000,16.8,4,0,0,15,21,2,115,5,3,1,0,0,79,4,18,18.2
379,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27,1996,16.2,5,1,1,11,4,0,11,14,25,0,0,0,98,15,5,75.0
380,Eddie Nketiah,eng ENG,FW,Arsenal,24,1999,12.0,3,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46.0
381,Christopher Nkunku,fr FRA,"FW,MF",Chelsea,25,1997,4.9,0,0,0,8,7,3,4,2,4,0,0,0,12,10,6,62.5
382,Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,24,1999,1.2,1,0,0,3,1,1,2,1,1,0,0,0,4,1,1,50.0
383,Oliver Norwood,nir NIR,MF,Sheffield Utd,32,1991,16.0,8,0,0,15,9,0,52,21,26,0,1,0,98,14,16,46.7
384,Matheus Nunes,pt POR,MF,Wolves,24,1998,2.0,2,1,1,1,7,3,3,6,1,0,0,0,10,2,1,66.7
385,Matheus Nunes,pt POR,MF,Manchester City,24,1998,7.3,0,0,0,8,16,2,19,1,4,0,0,0,30,5,8,38.5
386,Darwin Núñez,uy URU,FW,Liverpool,24,1999,22.7,9,0,0,28,15,33,19,3,12,1,0,0,56,34,55,38.2
387,Ethan Nwaneri,eng ENG,FW,Arsenal,16,2007,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
388,Christian Nørgaard,dk DEN,MF,Brentford,29,1994,27.8,8,0,0,41,32,1,22,54,50,0,0,0,216,40,46,46.5
389,Mark O'Mahony,ie IRL,FW,Brighton,18,2005,0.7,1,0,0,1,0,0,0,0,0,0,0,0,2,1,3,25.0
390,Dara O'Shea,ie IRL,DF,Burnley,24,1999,32.1,5,1,0,36,15,1,11,35,20,0,0,1,140,127,67,65.5
