Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
189,Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7,0
190,Omari Forson,eng ENG,FW,Manchester Utd,19,2004,0.8,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
191,Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,21.1,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34,0
192,Matheus França,br BRA,"MF,FW",Crystal Palace,19,2004,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1,0
193,Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,5,2,2,1,2,1,3,33.3,2,2,1,1,1,6,2,0
194,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0
195,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0
196,Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,73,44,32,27,14,29,46,63.0,17,24,7,17,28,101,16,0
197,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,28.5,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18,0
198,James Garner,eng ENG,MF,Everton,22,2001,33.4,83,44,32,38,13,35,82,42.7,47,45,14,31,45,128,47,1
199,Saman Ghoddos,ir IRN,DF,Brentford,29,1993,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12,0
200,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23,2000,35.1,36,24,6,20,10,14,33,42.4,19,31,8,23,17,53,21,0
201,Bryan Gil,es ESP,"FW,MF",Tottenham,22,2001,2.3,1,0,0,0,1,1,4,25.0,3,3,0,3,3,4,4,0
202,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,4,0,4,0,0,2,5,40.0,3,6,3,3,3,7,11,0
203,Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,26,16,14,10,2,11,35,31.4,24,23,9,14,11,37,14,1
204,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,30,20,17,8,5,15,28,53.6,13,14,8,6,16,46,57,0
205,André Gomes,pt POR,"MF,FW",Everton,30,1993,5.6,7,4,2,3,2,3,13,23.1,10,10,1,9,3,10,4,1
206,João Gomes,br BRA,MF,Wolves,22,2001,29.4,128,74,67,49,12,44,99,44.4,55,51,8,43,18,146,29,2
207,Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2
208,Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2
209,Sergio Gómez,es ESP,"FW,MF",Manchester City,22,2000,0.6,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
210,Enso Gonzalez,py PAR,"MF,DF",Wolves,18,2005,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
211,Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,32.1,55,34,16,28,11,22,64,34.4,42,27,0,27,7,62,7,0
212,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
213,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0
214,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,26,12,5,13,8,12,29,41.4,17,20,2,18,14,40,11,0
215,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,8.6,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,9,1
216,Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,11.2,13,8,6,7,0,6,12,50.0,6,13,2,11,6,19,5,0
217,Pascal Groß,de GER,"MF,DF",Brighton,32,1991,34.6,70,46,33,21,16,31,72,43.1,41,41,8,33,22,92,32,3
218,Marc Guéhi,eng ENG,DF,Crystal Palace,23,2000,22.5,28,19,21,7,0,14,24,58.3,10,22,17,5,18,46,89,1
219,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,36.3,88,53,45,32,11,40,77,51.9,37,52,14,38,35,123,20,0
220,Malo Gusto,fr FRA,DF,Chelsea,20,2003,19.5,55,27,34,15,6,35,52,67.3,17,28,4,24,17,72,43,1
221,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,55,33,21,24,10,21,38,55.3,17,36,12,24,27,82,37,3
222,Erling Haaland,no NOR,FW,Manchester City,23,2000,28.4,6,3,0,3,3,2,3,66.7,1,11,1,10,2,8,16,0
223,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
224,Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,8.7,28,18,17,10,1,17,28,60.7,11,17,2,15,12,40,22,1
225,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,39,21,17,15,7,16,59,27.1,43,33,9,24,29,68,35,0
226,Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
227,Jack Harrison,eng ENG,"MF,FW",Everton,26,1996,24.6,37,22,12,12,13,17,49,34.7,32,25,5,20,12,49,24,0
228,Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,6.6,11,5,6,4,1,5,11,45.5,6,12,7,5,8,19,20,0
229,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0
230,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,47,26,25,19,3,27,45,60.0,18,49,27,22,30,77,76,4
231,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,23.5,20,10,11,8,1,9,24,37.5,15,19,1,18,10,30,9,0
232,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,8,2
233,Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,7,5,3,3,1,6,7,85.7,1,8,3,5,5,12,5,1
234,Son Heung-min,kr KOR,FW,Tottenham,31,1992,32.6,21,13,6,7,8,10,21,47.6,11,4,1,3,8,29,4,0
235,Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0
236,James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,3,2,1,2,0,1,1,100.0,0,3,2,1,3,6,8,0
237,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0
238,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,12,7,5,6,1,5,12,41.7,7,12,5,7,11,23,40,0
239,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,18,8,4,5,9,7,28,25.0,21,16,1,15,7,25,12,1
240,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21.0,61,33,30,20,11,24,48,50.0,24,36,14,22,21,82,25,0
241,Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,14.6,32,18,13,17,2,13,34,38.2,21,21,7,14,19,51,30,3
242,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24.0,11,7,2,3,6,5,13,38.5,8,9,1,8,1,12,19,0
243,Igor,br BRA,DF,Brighton,25,1998,18.2,25,18,7,16,2,17,29,58.6,12,22,9,13,14,39,52,1
244,Danny Ings,eng ENG,FW,West Ham,31,1992,4.5,6,2,0,6,0,4,13,30.8,9,4,1,3,3,9,7,0
245,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,7,5,4,2,1,4,9,44.4,5,3,0,3,2,9,3,0
246,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,25.1,5,0,2,1,2,2,8,25.0,6,16,1,15,6,11,13,0
247,Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,2,0,1,0,1,2,3,66.7,1,2,0,2,1,3,0,0
248,Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,24.4,29,18,12,15,2,12,25,48.0,13,16,0,16,14,43,9,0
249,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,21,13,5,8,8,5,24,20.8,19,20,5,15,4,25,17,0
250,Reece James,eng ENG,DF,Chelsea,23,1999,4.7,14,9,10,3,1,8,10,80.0,2,4,4,0,3,17,7,1
251,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3
252,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
253,Mathias Jensen,dk DEN,MF,Brentford,27,1996,24.5,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1
254,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,16.4,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0
255,Raúl Jiménez,mx MEX,FW,Fulham,32,1991,15.5,18,12,4,8,6,7,20,35.0,13,11,3,8,4,22,13,0
256,João Pedro,br BRA,"FW,MF",Brighton,21,2001,22.7,31,14,10,13,8,14,24,58.3,10,15,2,13,11,42,28,0
257,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,14.2,39,27,21,15,3,14,38,36.8,24,23,7,16,19,58,11,1
258,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,5.6,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0
259,Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,6.0,11,7,7,3,1,9,14,64.3,5,2,1,1,5,16,14,0
260,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,26,15,14,5,7,12,31,38.7,19,37,1,36,10,36,12,1
261,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,4,1,1,1,2,2,4,50.0,2,4,1,3,0,4,0,0
262,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
263,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0
264,Curtis Jones,eng ENG,MF,Liverpool,22,2001,13.0,27,14,12,12,3,10,23,43.5,13,22,0,22,7,34,8,0
265,Jorginho,it ITA,MF,Arsenal,31,1991,10.2,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1
266,Diogo Jota,pt POR,FW,Liverpool,26,1996,12.7,23,13,6,13,4,10,23,43.5,13,9,1,8,7,30,4,0
267,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,4.4,6,5,4,2,0,4,4,100.0,0,9,6,3,8,14,29,0
268,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0
269,Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,12.1,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0
270,Issa Kaboré,bf BFA,DF,Luton Town,22,2001,19.2,52,28,23,21,8,24,45,53.3,21,22,11,11,16,68,56,2
271,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,1.8,6,2,3,2,1,1,2,50.0,1,3,0,3,1,7,6,0
272,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,18.4,43,29,16,21,6,24,47,51.1,23,21,7,14,21,64,16,0
273,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,3.7,3,1,1,2,0,1,3,33.3,2,6,3,3,4,7,14,1
274,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,2,1,2,0,0,2,6,33.3,4,1,0,1,0,2,14,2
275,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
276,Michael Keane,eng ENG,DF,Everton,30,1993,4.9,7,3,3,3,1,1,7,14.3,6,5,4,1,5,12,18,1
277,Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,0.2,1,1,0,1,0,0,0,,0,2,2,0,0,1,0,0
278,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
279,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,17.3,24,19,10,9,5,14,25,56.0,11,22,12,10,13,37,67,0
280,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
281,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2
282,Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
283,Max Kilman,eng ENG,DF,Wolves,26,1997,38.0,47,21,40,6,1,24,32,75.0,8,64,37,27,39,86,182,4
284,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,10.5,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,21.3,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0
286,Luca Koleosho,it ITA,"MF,FW",Burnley,18,2004,10.8,7,4,2,5,0,2,10,20.0,8,13,0,13,2,9,0,0
287,Ibrahima Konaté,fr FRA,DF,Liverpool,24,1999,17.5,36,22,22,13,1,18,24,75.0,6,18,12,6,20,56,51,1
288,Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,34.1,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3
289,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33,1989,2.4,8,5,3,3,2,1,4,25.0,3,4,1,3,2,10,10,0
290,Mateo Kovačić,hr CRO,MF,Manchester City,29,1994,17.2,36,25,16,15,5,18,28,64.3,10,23,1,22,10,46,10,0
291,Emil Krafth,se SWE,DF,Newcastle Utd,28,1994,10.1,21,14,10,7,4,12,25,48.0,13,8,3,5,9,30,21,0
292,Mohammed Kudus,gh GHA,"FW,MF",West Ham,22,2000,27.6,65,47,27,27,11,20,40,50.0,20,25,0,25,11,76,9,1
293,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1
294,Adam Lallana,eng ENG,"MF,FW",Brighton,35,1988,9.4,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0
295,Tariq Lamptey,gh GHA,"DF,FW",Brighton,22,2000,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0
296,Aymeric Laporte,es ESP,DF,Manchester City,29,1994,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
297,Yasser Larouci,dz ALG,DF,Sheffield Utd,22,2001,5.9,17,9,10,5,2,10,14,71.4,4,6,1,5,7,24,20,1
298,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29,1993,12.0,14,9,7,7,0,6,11,54.5,5,17,12,5,5,19,42,0
299,Roméo Lavia,be BEL,MF,Chelsea,19,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
300,Mario Lemina,ga GAB,MF,Wolves,29,1993,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0
301,Clément Lenglet,fr FRA,DF,Aston Villa,28,1995,12.8,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1
302,Bernd Leno,de GER,GK,Fulham,31,1992,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1
303,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,28,1994,26.7,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0
304,Rico Lewis,eng ENG,"DF,MF",Manchester City,18,2004,9.0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0
305,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,22,2001,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0
306,Victor Lindelöf,se SWE,DF,Manchester Utd,29,1994,14.8,15,10,8,7,0,5,13,38.5,8,18,9,9,12,27,40,1
307,Valentino Livramento,eng ENG,DF,Newcastle Utd,20,2002,14.6,23,13,15,6,2,10,21,47.6,11,16,7,9,25,48,41,1
308,Giovani Lo Celso,ar ARG,MF,Tottenham,27,1996,5.6,22,13,10,8,4,9,14,64.3,5,4,1,3,5,27,2,0
309,Tom Lockyer,wls WAL,DF,Luton Town,28,1994,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0
310,Sean Longstaff,eng ENG,MF,Newcastle Utd,25,1997,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0
311,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,26,1997,5.6,21,10,13,5,3,8,15,53.3,7,10,4,6,5,26,15,0
312,Douglas Luiz,br BRA,MF,Aston Villa,25,1998,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2
313,Saša Lukić,rs SRB,MF,Fulham,26,1996,12.5,33,19,9,17,7,18,39,46.2,21,18,5,13,16,49,19,1
314,Ian Maatsen,nl NED,"FW,MF",Chelsea,21,2002,2.3,3,2,1,1,1,0,4,0.0,4,4,0,4,3,6,10,0
315,Alexis Mac Allister,ar ARG,MF,Liverpool,24,1998,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1
316,James Maddison,eng ENG,MF,Tottenham,26,1996,23.7,33,19,5,18,10,15,29,51.7,14,15,3,12,13,46,10,1
317,Noni Madueke,eng ENG,FW,Chelsea,21,2002,11.7,16,10,8,4,4,11,34,32.4,23,11,0,11,4,20,14,0
318,Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1
319,Harry Maguire,eng ENG,DF,Manchester Utd,30,1993,18.4,24,17,14,10,0,12,22,54.5,10,33,24,9,25,49,83,1
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18,2005,21.4,47,27,20,16,11,21,45,46.7,24,20,12,8,22,69,30,1
321,Orel Mangala,be BEL,MF,Nott'ham Forest,25,1998,17.4,27,13,16,10,1,14,29,48.3,15,12,6,6,26,53,32,0
322,Benson Manuel,ao ANG,"MF,FW",Burnley,26,1997,1.3,3,2,2,1,0,0,0,,0,1,0,1,0,3,0,0
323,Solly March,eng ENG,"FW,DF",Brighton,29,1994,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0
324,Anthony Martial,fr FRA,FW,Manchester Utd,27,1995,5.0,4,1,1,1,2,1,1,100.0,0,4,0,4,0,4,3,0
325,Gabriel Martinelli,br BRA,FW,Arsenal,22,2001,22.4,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1
326,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,33.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3
327,Lisandro Martínez,ar ARG,DF,Manchester Utd,25,1998,7.2,12,8,8,4,0,5,12,41.7,7,10,8,2,5,17,26,0
328,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,22,2001,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
329,Pape Matar Sarr,sn SEN,MF,Tottenham,20,2002,23.0,34,24,11,17,6,15,36,41.7,21,21,5,16,31,65,28,1
330,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,26,1997,25.4,22,15,4,11,7,6,10,60.0,4,13,4,9,4,26,14,0
331,Joël Matip,cm CMR,DF,Liverpool,31,1991,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0
332,Alex Matos,eng ENG,MF,Chelsea,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
333,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
334,Neal Maupay,fr FRA,FW,Brentford,26,1996,14.7,10,7,4,5,1,3,13,23.1,10,11,0,11,2,12,3,0
335,Neal Maupay,fr FRA,FW,Everton,26,1996,1.2,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
336,Konstantinos Mavropanos,gr GRE,DF,West Ham,25,1997,16.7,28,16,17,9,2,17,21,81.0,4,21,13,8,23,51,79,3
337,Bryan Mbeumo,cm CMR,FW,Brentford,23,1999,21.8,15,10,6,6,3,5,19,26.3,14,26,2,24,7,22,13,0
338,James Mcatee,eng ENG,"MF,FW",Sheffield Utd,20,2002,20.2,32,21,9,13,10,13,33,39.4,20,20,0,20,11,43,18,0
339,James Mcatee,eng ENG,MF,Manchester City,20,2002,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
340,Oliver McBurnie,sct SCO,FW,Sheffield Utd,27,1996,14.2,17,7,4,7,6,5,12,41.7,7,18,2,16,5,22,28,0
341,James McConnell,eng ENG,MF,Liverpool,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
342,John McGinn,sct SCO,"MF,FW",Aston Villa,28,1994,33.3,59,35,18,34,7,32,77,41.6,45,33,4,29,21,80,21,0
343,Scott McKenna,sct SCO,DF,Nott'ham Forest,26,1996,4.6,4,0,3,1,0,2,3,66.7,1,6,4,2,5,9,27,0
344,Dwight McNeil,eng ENG,"MF,FW",Everton,23,1999,32.1,44,27,16,14,14,24,55,43.6,31,44,7,37,22,66,37,0
345,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,26,1996,21.1,49,25,23,24,2,22,33,66.7,11,34,12,22,14,63,54,0
346,Ben Mee,eng ENG,DF,Brentford,33,1989,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1
347,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,20,2003,1.5,3,3,1,2,0,1,3,33.3,2,1,1,0,0,3,0,0
348,Teden Mengi,eng ENG,DF,Luton Town,21,2002,27.4,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1
349,Chris Mepham,wls WAL,DF,Bournemouth,25,1997,6.9,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1
350,Lewis Miley,eng ENG,MF,Newcastle Utd,17,2006,13.4,33,21,6,20,7,15,32,46.9,17,20,3,17,8,41,18,2
351,James Milner,eng ENG,"DF,MF",Brighton,37,1986,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0
352,Tyrone Mings,eng ENG,DF,Aston Villa,30,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
353,Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,23,1999,35.6,105,60,75,21,9,43,60,71.7,17,63,10,53,26,131,104,0
354,Kaoru Mitoma,jp JPN,FW,Brighton,26,1997,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0
355,Aleksandar Mitrović,rs SRB,FW,Fulham,28,1994,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
356,Jakub Moder,pl POL,"MF,DF",Brighton,24,1999,6.9,19,10,9,5,5,9,18,50.0,9,8,2,6,2,21,12,0
357,Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,26,1997,8.9,22,19,12,8,2,16,29,55.2,13,8,3,5,9,31,31,1
358,Kieffer Moore,wls WAL,"FW,MF",Bournemouth,30,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
359,Mikey Moore,eng ENG,MF,Tottenham,15,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
360,Álex Moreno,es ESP,DF,Aston Villa,30,1993,11.5,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0
361,Carlton Morris,eng ENG,"FW,MF",Luton Town,27,1995,31.8,15,8,4,6,5,9,15,60.0,6,24,5,19,1,16,53,0
362,Mason Mount,eng ENG,"MF,FW",Manchester Utd,24,1999,5.7,22,14,6,10,6,6,16,37.5,10,6,1,5,6,28,3,0
363,Divin Mubama,eng ENG,FW,West Ham,18,2004,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
364,Mykhailo Mudryk,ua UKR,FW,Chelsea,22,2001,17.5,21,12,9,7,5,10,32,31.3,22,14,1,13,9,30,9,0
365,Rodrigo Muniz,br BRA,FW,Fulham,22,2001,17.7,7,3,1,5,1,1,6,16.7,5,9,3,6,6,13,20,0
366,Daniel Muñoz,co COL,"DF,MF",Crystal Palace,27,1996,16.0,55,35,31,14,10,19,38,50.0,19,29,7,22,24,79,47,0
367,Finley Munroe,eng ENG,MF,Aston Villa,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
368,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,4
369,Murillo,br BRA,DF,Nott'ham Forest,21,2002,31.0,50,31,36,13,1,19,33,57.6,14,41,24,17,37,87,188,0
370,Alex Murphy,ie IRL,"DF,FW",Newcastle Utd,19,2004,0.1,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0
371,Jacob Murphy,eng ENG,"FW,DF",Newcastle Utd,28,1995,13.2,20,10,8,4,8,12,26,46.2,14,17,0,17,6,26,16,0
372,Vitaliy Mykolenko,ua UKR,DF,Everton,24,1999,27.4,69,38,46,21,2,41,66,62.1,25,36,11,25,36,105,92,0
373,Marvelous Nakamba,zw ZIM,MF,Luton Town,29,1994,12.6,40,24,24,14,2,24,42,57.1,18,23,6,17,11,51,11,1
374,Michael Ndiweni,eng ENG,FW,Newcastle Utd,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
375,Reiss Nelson,eng ENG,FW,Arsenal,23,1999,3.0,9,6,5,1,3,8,10,80.0,2,5,1,4,1,10,5,0
376,Zack Nelson,eng ENG,"MF,DF",Luton Town,18,2004,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
377,Neto,br BRA,GK,Bournemouth,34,1989,32.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,12,3
378,Pedro Neto,pt POR,"FW,MF",Wolves,23,2000,16.8,7,3,3,2,2,5,15,33.3,10,5,1,4,5,12,2,0
379,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27,1996,16.2,42,25,33,9,0,20,25,80.0,5,19,12,7,14,56,51,0
380,Eddie Nketiah,eng ENG,FW,Arsenal,24,1999,12.0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0
381,Christopher Nkunku,fr FRA,"FW,MF",Chelsea,25,1997,4.9,5,4,0,4,1,1,2,50.0,1,4,1,3,2,7,4,0
382,Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,24,1999,1.2,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,2,0
383,Oliver Norwood,nir NIR,MF,Sheffield Utd,32,1991,16.0,41,26,18,18,5,20,47,42.6,27,24,9,15,21,62,39,0
384,Matheus Nunes,pt POR,MF,Wolves,24,1998,2.0,3,1,3,0,0,2,6,33.3,4,0,0,0,6,9,1,0
385,Matheus Nunes,pt POR,MF,Manchester City,24,1998,7.3,10,4,1,7,2,5,16,31.3,11,7,1,6,1,11,8,1
