Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
136,Hannes Delcroix,be BEL,DF,Burnley,24,1999,6.5,300,350,85.7,4932,1666,145,155,93.5,135,154,87.7,16,31,51.6,0,0.2,0.1,-0.2,4,24,3,2,18
137,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,45,56,80.4,744,139,24,28,85.7,19,22,86.4,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3
138,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,24.2,485,619,78.4,6960,1348,280,329,85.1,170,215,79.1,17,32,53.1,8,6.6,4.5,+1.4,47,29,40,9,72
139,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,4.3,149,170,87.6,1931,279,105,115,91.3,32,37,86.5,4,5,80.0,1,1.1,0.5,-0.1,10,6,3,0,10
140,Amadou Diallo,eng ENG,MF,Newcastle Utd,20,2003,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
141,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,2469,2635,93.7,42764,13568,1039,1076,96.6,1256,1306,96.2,146,204,71.6,0,0.3,1.9,-0.3,7,220,12,3,173
142,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,898,1075,83.5,13772,2931,527,584,90.2,274,320,85.6,68,91,74.7,5,5.7,4.7,-0.7,64,62,45,3,113
143,Eric Dier,eng ENG,DF,Tottenham,29,1994,2.2,125,141,88.7,2070,1037,52,57,91.2,69,72,95.8,3,10,30.0,0,0.0,0.0,0.0,0,3,0,0,3
144,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,1015,1351,75.1,16244,5595,524,594,88.2,406,529,76.7,66,148,44.6,3,4.1,3.6,-1.1,37,49,34,15,77
145,Issa Diop,fr FRA,DF,Fulham,26,1997,15.8,950,1080,88.0,17646,6371,333,358,93.0,555,594,93.4,53,98,54.1,0,0.0,0.4,0.0,0,60,3,0,66
146,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,2031,2256,90.0,34081,11464,877,913,96.1,1050,1124,93.4,86,168,51.2,0,0.3,1.0,-0.3,3,115,8,1,112
147,Ben Doak,sct SCO,FW,Liverpool,17,2005,0.2,4,4,100.0,45,8,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
148,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,44,65,67.7,537,95,32,36,88.9,9,17,52.9,2,5,40.0,0,0.5,0.1,-0.5,4,0,3,1,3
149,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,12.8,515,653,78.9,7798,2105,296,348,85.1,174,212,82.1,31,55,56.4,0,1.3,0.9,-1.3,12,22,7,1,31
150,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,17.7,693,852,81.3,9699,1538,452,507,89.2,198,254,78.0,26,33,78.8,8,4.6,5.9,+3.4,45,14,40,7,57
151,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,16.6,714,843,84.7,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,2,1.0,1.3,+1.0,10,61,16,1,91
152,Jamie Donley,eng ENG,FW,Tottenham,18,2005,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,683,893,76.5,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97
154,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,367,422,87.0,5725,1849,200,222,90.1,146,165,88.5,18,24,75.0,0,0.7,0.8,-0.7,10,39,5,0,49
155,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,32.5,1121,1686,66.5,20956,8325,496,571,86.9,431,571,75.5,166,426,39.0,8,6.3,5.4,+1.7,70,71,43,24,106
156,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,801,955,83.9,15164,4208,309,331,93.4,361,399,90.5,106,178,59.6,0,0.4,0.9,-0.4,8,86,7,2,81
157,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,326,370,88.1,5633,1782,130,148,87.8,185,198,93.4,8,16,50.0,0,0.0,0.0,0.0,0,10,0,0,8
158,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,519,651,79.7,11869,6941,133,135,98.5,273,278,98.2,109,232,47.0,0,0.1,0.0,-0.1,1,1,0,0,0
159,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0.2,21,23,91.3,320,76,10,10,100.0,11,12,91.7,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1
160,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,2977,3233,92.1,50791,19478,1343,1382,97.2,1340,1417,94.6,216,340,63.5,1,0.9,2.2,+0.1,13,204,8,1,152
161,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,83,121,68.6,1095,220,51,69,73.9,24,29,82.8,3,5,60.0,0,0.3,0.2,-0.3,4,6,1,0,9
162,George Earthy,eng ENG,FW,West Ham,18,2004,0.4,16,17,94.1,183,43,12,13,92.3,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
163,Ederson,br BRA,GK,Manchester City,29,1993,30.9,1077,1234,87.3,25898,17578,275,276,99.6,560,570,98.2,239,381,62.7,0,0.1,0.1,-0.1,1,25,1,0,4
164,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,249,350,71.1,3106,704,164,207,79.2,61,80,76.3,7,11,63.6,0,1.2,1.1,-1.2,18,12,15,1,36
165,John Egan,ie IRL,DF,Sheffield Utd,30,1992,5.4,128,185,69.2,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,0,0.0,0.0,0.0,0,5,1,0,5
166,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,191,217,88.0,3404,938,66,71,93.0,109,120,90.8,12,17,70.6,0,0.1,0.0,-0.1,1,8,0,0,11
167,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27.0,498,712,69.9,6655,1569,313,391,80.1,143,211,67.8,15,28,53.6,9,6.7,4.0,+2.3,32,28,24,5,49
168,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15.0,825,986,83.7,13081,3101,457,496,92.1,278,323,86.1,66,105,62.9,6,3.5,4.6,+2.5,37,76,45,11,128
169,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,39,40,97.5,624,147,18,19,94.7,21,21,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
170,Emerson,br BRA,DF,Tottenham,24,1999,12.9,937,1038,90.3,13652,3714,529,558,94.8,339,362,93.6,32,45,71.1,0,0.4,0.9,-0.4,3,42,7,2,57
171,Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,5.3,132,178,74.2,1842,562,77,89,86.5,41,58,70.7,9,12,75.0,2,1.7,1.3,+0.3,9,12,4,2,21
172,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,1157,1315,88.0,17822,5048,631,684,92.3,466,516,90.3,45,63,71.4,0,1.7,1.5,-1.7,16,109,18,2,101
173,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,648,805,80.5,10504,2702,340,384,88.5,229,277,82.7,55,98,56.1,2,2.3,2.3,-0.3,27,66,17,3,68
174,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,690,821,84.0,11622,2998,308,343,89.8,336,371,90.6,36,79,45.6,0,0.0,0.2,0.0,1,41,0,0,40
175,Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,13.8,809,962,84.1,11736,3617,480,524,91.6,270,313,86.3,32,64,50.0,3,3.5,2.3,-0.5,26,66,25,11,83
176,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,729,832,87.6,11952,3843,323,350,92.3,344,374,92.0,40,72,55.6,1,1.2,0.3,-0.2,6,29,3,0,37
177,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,22.8,700,909,77.0,11150,3226,353,405,87.2,253,301,84.1,61,134,45.5,4,5.2,5.6,-1.2,54,48,45,7,93
178,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,160,239,66.9,5259,3852,19,19,100.0,70,70,100.0,70,146,47.9,0,0.0,0.0,0.0,0,8,0,0,1
179,Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,0.5,19,26,73.1,251,114,9,12,75.0,7,7,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,1,0,5
180,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,5.8,178,210,84.8,2332,518,117,124,94.4,41,50,82.0,10,11,90.9,0,0.8,0.6,-0.8,6,14,7,0,28
181,Felipe,br BRA,DF,Nott'ham Forest,34,1989,4.2,183,215,85.1,3654,1412,61,70,87.1,97,105,92.4,21,33,63.6,0,0.1,0.0,-0.1,2,10,0,0,6
182,Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,244,303,80.5,3028,349,156,180,86.7,54,63,85.7,11,15,73.3,0,0.5,0.8,-0.5,6,11,4,0,15
183,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,34.6,1590,2179,73.0,28404,10273,766,876,87.4,532,698,76.2,229,432,53.0,8,11.8,10.2,-3.8,114,187,89,10,297
184,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,1574,1862,84.5,28776,8415,674,742,90.8,661,744,88.8,196,273,71.8,2,3.4,3.7,-1.4,32,177,43,4,210
185,John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,1.0,29,40,72.5,408,88,21,27,77.8,7,9,77.8,1,2,50.0,0,0.4,0.3,-0.4,2,1,1,0,3
186,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,1131,1580,71.6,32732,22385,159,161,98.8,575,580,99.1,394,832,47.4,1,0.5,0.2,+0.5,4,37,1,0,5
187,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,31.7,1511,1767,85.5,20347,3769,990,1053,94.0,388,449,86.4,68,135,50.4,8,8.4,6.9,-0.4,73,71,57,5,168
188,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,29.4,595,1054,56.5,19592,15704,101,102,99.0,240,250,96.0,254,691,36.8,0,0.1,0.1,-0.1,1,19,2,0,0
189,Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,4.7,162,210,77.1,2602,713,83,96,86.5,60,75,80.0,12,20,60.0,0,0.3,0.3,-0.3,5,19,6,1,29
190,Omari Forson,eng ENG,FW,Manchester Utd,19,2004,0.8,30,33,90.9,373,78,17,17,100.0,10,12,83.3,0,0,,1,0.2,0.0,+0.8,2,2,1,0,2
191,Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,21.1,312,461,67.7,4471,835,197,268,73.5,91,124,73.4,14,20,70.0,3,1.9,1.3,+1.1,19,21,12,0,37
192,Matheus França,br BRA,"MF,FW",Crystal Palace,19,2004,2.6,51,79,64.6,910,256,20,29,69.0,24,29,82.8,5,13,38.5,1,0.9,0.5,+0.1,6,4,2,0,8
193,Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,33,42,78.6,380,45,24,27,88.9,7,10,70.0,0,0,,0,0.1,0.1,-0.1,2,0,2,0,2
194,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,436,564,77.3,6130,1738,266,315,84.4,136,183,74.3,18,24,75.0,5,2.9,2.7,+2.1,25,43,32,5,83
195,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,1801,2018,89.2,26732,5954,1054,1116,94.4,598,654,91.4,95,146,65.1,7,5.0,3.5,+2.0,52,135,32,4,172
196,Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,758,898,84.4,11688,3236,384,428,89.7,317,361,87.8,39,66,59.1,0,1.1,0.8,-1.1,15,70,9,1,83
197,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,28.5,675,901,74.9,9269,1365,422,506,83.4,189,233,81.1,34,63,54.0,4,5.1,2.9,-1.1,46,26,22,4,62
198,James Garner,eng ENG,MF,Everton,22,2001,33.4,958,1244,77.0,16067,4432,464,536,86.6,374,437,85.6,90,185,48.6,2,4.6,3.7,-2.6,44,98,24,6,100
199,Saman Ghoddos,ir IRN,DF,Brentford,29,1993,8.2,325,448,72.5,5565,1748,164,187,87.7,131,167,78.4,27,78,34.6,0,1.1,1.0,-1.1,9,29,10,4,36
200,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23,2000,35.1,1045,1480,70.6,18412,6092,499,609,81.9,350,452,77.4,152,297,51.2,10,8.4,6.8,+1.6,74,114,39,13,170
201,Bryan Gil,es ESP,"FW,MF",Tottenham,22,2001,2.3,127,157,80.9,1809,344,69,81,85.2,54,62,87.1,1,2,50.0,0,0.2,0.3,-0.2,4,6,8,1,16
202,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,121,141,85.8,1893,468,63,73,86.3,55,61,90.2,3,6,50.0,0,0.0,0.0,0.0,0,5,1,0,7
203,Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,1915,2107,90.9,29399,7671,1049,1093,96.0,703,759,92.6,106,170,62.4,1,2.0,2.5,-1.0,22,183,33,3,193
204,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,336,484,69.4,5725,2373,147,180,81.7,157,204,77.0,23,62,37.1,0,0.3,0.5,-0.3,3,32,6,2,43
205,André Gomes,pt POR,"MF,FW",Everton,30,1993,5.6,223,291,76.6,3909,971,112,132,84.8,80,95,84.2,27,51,52.9,0,0.4,0.5,-0.4,4,24,6,1,36
206,João Gomes,br BRA,MF,Wolves,22,2001,29.4,1051,1279,82.2,15291,4174,596,665,89.6,342,404,84.7,50,94,53.2,1,1.1,1.7,-0.1,20,73,23,5,101
207,Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,1516,1847,82.1,23316,8336,782,859,91.0,631,748,84.4,60,153,39.2,3,1.2,0.6,+1.8,6,78,6,1,79
208,Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,1114,1345,82.8,18984,5116,519,574,90.4,497,585,85.0,83,131,63.4,1,1.3,1.1,-0.3,22,83,20,7,100
209,Sergio Gómez,es ESP,"FW,MF",Manchester City,22,2000,0.6,46,54,85.2,636,97,29,31,93.5,15,17,88.2,1,2,50.0,1,0.2,0.2,+0.8,1,1,2,1,2
210,Enso Gonzalez,py PAR,"MF,DF",Wolves,18,2005,0.0,6,6,100.0,87,3,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
211,Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,32.1,803,1055,76.1,12020,3500,486,559,86.9,214,282,75.9,70,136,51.5,10,8.0,5.6,+2.0,57,54,39,12,101
212,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,1,1,100.0,16,11,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
213,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
214,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,415,504,82.3,5520,1719,263,302,87.1,122,140,87.1,8,12,66.7,0,0.9,1.4,-0.9,16,35,27,0,78
215,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,8.6,148,298,49.7,5407,4505,23,23,100.0,48,54,88.9,76,217,35.0,0,0.0,0.0,0.0,0,1,0,0,0
216,Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,11.2,499,580,86.0,7032,1069,302,329,91.8,156,174,89.7,23,32,71.9,1,2.5,2.8,-1.5,26,15,25,0,50
217,Pascal Groß,de GER,"MF,DF",Brighton,32,1991,34.6,2774,3223,86.1,42905,13360,1583,1674,94.6,914,1035,88.3,193,359,53.8,10,8.1,9.2,+1.9,103,242,73,27,302
218,Marc Guéhi,eng ENG,DF,Crystal Palace,23,2000,22.5,1138,1309,86.9,22770,7962,363,403,90.1,636,673,94.5,130,212,61.3,1,0.6,1.0,+0.4,7,90,5,0,67
219,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,36.3,1941,2313,83.9,33351,9336,915,1011,90.5,789,902,87.5,181,285,63.5,8,6.4,6.3,+1.6,62,184,70,5,283
220,Malo Gusto,fr FRA,DF,Chelsea,20,2003,19.5,1230,1423,86.4,17534,5080,761,829,91.8,394,454,86.8,48,73,65.8,6,4.3,3.3,+1.7,32,49,29,13,86
221,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,1671,1919,87.1,25207,6169,931,1010,92.2,618,695,88.9,77,107,72.0,1,1.4,2.1,-0.4,18,141,16,3,136
222,Erling Haaland,no NOR,FW,Manchester City,23,2000,28.4,295,388,76.0,3234,567,197,242,81.4,56,70,80.0,5,8,62.5,5,4.3,2.2,+0.7,29,16,11,0,26
223,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,0.1,2,2,100.0,14,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
224,Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,8.7,452,552,81.9,7570,3083,229,248,92.3,186,220,84.5,33,61,54.1,0,0.3,0.7,-0.3,3,41,3,1,46
225,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,754,1102,68.4,12591,4875,371,449,82.6,266,346,76.9,80,222,36.0,6,6.1,4.6,-0.1,70,94,37,7,135
226,Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,11,14,78.6,172,14,5,8,62.5,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0,1
227,Jack Harrison,eng ENG,"MF,FW",Everton,26,1996,24.6,409,631,64.8,5825,2378,243,291,83.5,127,195,65.1,23,73,31.5,3,3.4,3.3,-0.4,28,37,34,11,62
228,Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,6.6,227,282,80.5,3875,1580,101,108,93.5,107,126,84.9,16,34,47.1,0,0.7,0.3,-0.7,3,14,4,3,21
229,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,29.3,764,955,80.0,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7,4.4,4.3,+2.6,46,65,29,1,99
230,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,2225,2415,92.1,38300,14722,939,991,94.8,1109,1181,93.9,136,186,73.1,0,0.9,1.1,-0.9,10,156,10,1,147
231,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,23.5,424,551,77.0,5661,1028,256,312,82.1,131,162,80.9,13,21,61.9,3,3.0,2.9,0.0,17,19,7,2,37
232,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,280,485,57.7,7596,5485,75,78,96.2,120,123,97.6,81,277,29.2,0,0.0,0.0,0.0,0,9,1,0,0
233,Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,147,183,80.3,2291,763,82,94,87.2,51,61,83.6,11,19,57.9,1,1.0,0.8,0.0,4,10,7,2,20
234,Son Heung-min,kr KOR,FW,Tottenham,31,1992,32.6,887,1075,82.5,12123,2822,531,609,87.2,297,338,87.9,23,38,60.5,10,11.8,8.3,-1.8,68,40,65,2,139
235,Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70.0,0,0.1,0.1,-0.1,1,10,2,0,21
236,James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,28,42,66.7,542,243,13,16,81.3,8,13,61.5,5,10,50.0,0,0.0,0.0,0.0,0,6,0,0,5
237,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,418,498,83.9,5999,1172,233,267,87.3,156,175,89.1,9,22,40.9,0,0.7,0.4,-0.7,8,24,5,1,19
238,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,138,211,65.4,2552,1215,65,83,78.3,52,78,66.7,19,44,43.2,0,0.4,0.2,-0.4,1,17,2,2,13
239,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,574,736,78.0,9036,1826,325,359,90.5,187,251,74.5,46,83,55.4,1,2.8,2.5,-1.8,36,20,32,8,58
240,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21.0,731,878,83.3,10742,3108,389,436,89.2,281,317,88.6,27,62,43.5,1,1.1,1.8,-0.1,21,71,16,2,76
241,Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,14.6,1234,1415,87.2,20132,7286,652,718,90.8,440,480,91.7,100,142,70.4,0,1.2,1.5,-1.2,9,160,12,1,134
242,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24.0,304,402,75.6,3552,884,199,247,80.6,58,77,75.3,11,12,91.7,2,1.6,0.9,+0.4,28,14,14,1,33
243,Igor,br BRA,DF,Brighton,25,1998,18.2,1398,1497,93.4,21855,7143,714,742,96.2,615,640,96.1,49,68,72.1,0,0.7,0.5,-0.7,7,123,2,0,107
244,Danny Ings,eng ENG,FW,West Ham,31,1992,4.5,76,107,71.0,854,170,40,50,80.0,19,24,79.2,1,8,12.5,0,0.3,0.3,-0.3,5,2,3,0,8
245,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,51,55,92.7,704,229,30,31,96.8,19,20,95.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
246,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,25.1,385,493,78.1,5446,1167,237,280,84.6,117,142,82.4,15,22,68.2,2,3.7,2.8,-1.7,27,28,21,0,71
247,Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,27,42,64.3,545,179,13,14,92.9,7,10,70.0,7,15,46.7,0,0.2,0.4,-0.2,4,1,3,1,4
248,Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,24.4,821,1051,78.1,13556,4268,400,451,88.7,325,403,80.6,66,118,55.9,2,4.7,4.0,-2.7,49,84,46,8,147
249,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,515,666,77.3,6528,1537,323,386,83.7,126,164,76.8,20,27,74.1,5,4.3,2.9,+0.7,38,40,21,0,67
250,Reece James,eng ENG,DF,Chelsea,23,1999,4.7,275,341,80.6,4433,1383,144,163,88.3,104,130,80.0,19,34,55.9,2,1.7,1.6,+0.3,11,21,6,3,21
251,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,1088,1398,77.8,17534,5211,579,666,86.9,394,496,79.4,84,156,53.8,3,4.8,3.7,-1.8,37,107,32,15,123
252,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,0.2,1,3,33.3,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
253,Mathias Jensen,dk DEN,MF,Brentford,27,1996,24.5,875,1202,72.8,17423,6338,362,423,85.6,337,439,76.8,152,268,56.7,3,4.0,4.8,-1.0,41,88,41,11,123
254,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,16.4,403,513,78.6,5315,971,259,306,84.6,111,140,79.3,10,16,62.5,5,3.8,3.2,+1.2,29,18,19,1,42
255,Raúl Jiménez,mx MEX,FW,Fulham,32,1991,15.5,262,382,68.6,3408,717,162,201,80.6,54,90,60.0,17,33,51.5,0,1.5,1.0,-1.5,11,23,11,2,24
256,João Pedro,br BRA,"FW,MF",Brighton,21,2001,22.7,659,818,80.6,8706,1876,425,483,88.0,178,217,82.0,24,43,55.8,3,3.8,4.7,-0.8,37,43,44,4,92
257,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,14.2,524,627,83.6,7295,1898,312,350,89.1,166,191,86.9,19,25,76.0,1,2.8,1.1,-1.8,23,38,9,0,56
258,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,5.6,140,218,64.2,2294,949,74,85,87.1,56,85,65.9,9,39,23.1,0,0.2,0.6,-0.2,5,10,10,6,17
259,Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,6.0,246,334,73.7,3816,1465,141,156,90.4,88,121,72.7,14,33,42.4,0,0.0,0.1,0.0,0,18,1,0,22
260,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,519,728,71.3,7315,1778,333,405,82.2,158,217,72.8,15,45,33.3,10,8.1,4.5,+1.9,45,32,39,10,72
261,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,47,61,77.0,671,143,25,29,86.2,17,22,77.3,2,2,100.0,0,0.2,0.0,-0.2,1,2,0,0,1
262,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,0.9,30,36,83.3,646,228,9,9,100.0,16,17,94.1,5,9,55.6,0,0.0,0.0,0.0,0,1,0,0,2
263,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,343,599,57.3,11568,8793,45,46,97.8,143,147,97.3,155,401,38.7,0,0.0,0.0,0.0,0,13,0,0,0
264,Curtis Jones,eng ENG,MF,Liverpool,22,2001,13.0,707,776,91.1,10366,2136,405,428,94.6,257,278,92.4,22,30,73.3,1,0.7,1.1,+0.3,11,64,14,1,74
265,Jorginho,it ITA,MF,Arsenal,31,1991,10.2,699,785,89.0,11386,3439,360,380,94.7,280,310,90.3,45,59,76.3,2,1.4,2.1,+0.6,10,81,25,1,101
266,Diogo Jota,pt POR,FW,Liverpool,26,1996,12.7,287,394,72.8,3995,939,185,227,81.5,83,104,79.8,11,17,64.7,3,3.3,1.7,-0.3,22,18,12,0,34
267,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,4.4,87,117,74.4,1570,766,41,47,87.2,37,48,77.1,9,19,47.4,0,0.0,0.0,0.0,0,7,0,0,7
268,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,0.5,18,27,66.7,244,59,10,11,90.9,6,8,75.0,1,3,33.3,0,0.0,0.0,0.0,1,3,0,0,3
269,Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,12.1,446,593,75.2,7338,3528,227,262,86.6,186,238,78.2,27,62,43.5,0,0.9,0.5,-0.9,7,52,9,1,50
270,Issa Kaboré,bf BFA,DF,Luton Town,22,2001,19.2,533,759,70.2,8402,3289,277,324,85.5,203,287,70.7,35,78,44.9,2,2.1,1.9,-0.1,16,30,18,13,54
271,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,1.8,38,60,63.3,507,130,22,33,66.7,10,16,62.5,2,5,40.0,0,1.0,0.3,-1.0,4,1,2,0,5
272,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,18.4,922,1035,89.1,14037,3978,521,560,93.0,319,344,92.7,56,82,68.3,1,1.3,1.4,-0.3,20,107,12,0,83
273,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,3.7,163,192,84.9,2765,960,74,78,94.9,85,95,89.5,3,14,21.4,0,0.0,0.0,0.0,0,7,0,0,8
274,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,869,1468,59.2,27614,22188,173,175,98.9,329,344,95.6,362,937,38.6,0,0.0,0.1,0.0,1,44,2,0,1
275,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,21,37,56.8,507,279,4,4,100.0,14,14,100.0,3,18,16.7,0,0.0,0.0,0.0,0,0,0,0,0
