Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
68,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,921,1017,90.6,17027,6760,357,382,93.5,459,489,93.9,98,132,74.2,2,1.0,0.6,+1.0,5,38,1,0,35
69,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,484,702,68.9,6899,1825,284,341,83.3,141,188,75.0,34,71,47.9,6,5.5,4.8,+0.5,31,29,13,3,52
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,419,530,79.1,6224,1849,238,275,86.5,149,190,78.4,20,35,57.1,3,1.5,1.2,+1.5,15,27,13,3,29
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,1105,1385,79.8,20561,8048,440,507,86.8,531,612,86.8,115,212,54.2,0,1.0,1.3,-1.0,4,60,1,0,74
72,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,200,265,75.5,2833,720,127,149,85.2,58,76,76.3,12,17,70.6,1,1.5,1.1,-0.5,8,22,12,2,37
73,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,52,76,68.4,702,178,35,41,85.4,10,22,45.5,4,7,57.1,0,0.1,0.1,-0.1,2,6,1,0,3
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50.0,0,0.2,0.3,-0.2,3,2,2,0,6
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,19,27,70.4,200,71,15,19,78.9,4,5,80.0,0,0,,1,0.4,0.0,+0.6,1,4,1,0,2
76,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,196,261,75.1,2943,511,109,131,83.2,80,97,82.5,6,19,31.6,0,0.1,0.3,-0.1,3,11,5,0,18
77,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,95,132,72.0,1545,666,47,55,85.5,34,42,81.0,10,23,43.5,1,1.0,0.5,0.0,8,14,12,3,21
78,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,136,247,55.1,1865,626,91,127,71.7,35,56,62.5,6,24,25.0,0,0.7,0.4,-0.7,8,6,3,1,19
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,850,1106,76.9,13206,3449,451,532,84.8,311,393,79.1,55,114,48.2,2,2.1,2.1,-0.1,34,71,16,0,90
80,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,378,526,71.9,6208,1406,208,257,80.9,120,162,74.1,39,64,60.9,0,1.5,1.8,-1.5,25,12,13,2,38
81,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,318,406,78.3,4380,1005,211,237,89.0,92,117,78.6,11,27,40.7,0,0.8,0.7,-0.8,6,11,8,8,8
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,426,480,88.8,7158,2158,177,192,92.2,223,237,94.1,18,37,48.6,0,0.1,0.0,-0.1,2,16,0,0,11
83,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,404,478,84.5,5038,1028,270,306,88.2,95,109,87.2,9,15,60.0,1,1.8,1.2,-0.8,18,26,14,1,42
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,547,719,76.1,10396,4169,200,247,81.0,280,325,86.2,57,120,47.5,4,1.4,0.9,+2.6,13,58,9,3,67
85,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,1351,1667,81.0,22402,8237,606,702,86.3,676,788,85.8,54,111,48.6,2,1.1,1.1,+0.9,10,67,7,3,75
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,3,4,75.0,29,1,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,1907,2119,90.0,29696,8181,1046,1120,93.4,673,726,92.7,124,162,76.5,3,2.6,2.0,+0.4,23,176,20,0,173
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,1126,1272,88.5,17463,3797,603,644,93.6,422,454,93.0,68,109,62.4,4,2.3,2.5,+1.7,26,84,25,4,145
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,248,440,56.4,2917,647,175,271,64.6,49,99,49.5,6,12,50.0,2,3.1,1.6,-1.1,19,13,12,0,31
90,Thomas Cannon,ie IRL,FW,Everton,20,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,1184,1340,88.4,23313,9315,357,378,94.4,714,749,95.3,107,199,53.8,0,0.1,0.4,-0.1,3,72,4,0,59
92,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,53,65,81.5,792,155,29,34,85.3,17,22,77.3,4,4,100.0,0,0.1,0.1,-0.1,2,2,0,0,3
93,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22.0,1165,1425,81.8,20136,7677,536,596,89.9,489,568,86.1,105,187,56.1,2,1.0,1.2,+1.0,16,124,18,3,112
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
95,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,985,1225,80.4,16094,4888,490,545,89.9,415,501,82.8,63,131,48.1,2,2.3,2.5,-0.3,13,69,19,8,88
