Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
558,Timo Werner,de GER,FW,Tottenham,27,1996,9.0,34,3.78,25,0,4,4,1,0,7,0.78,7,0,0,0,0,0
559,Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0
560,Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
561,Ben White,eng ENG,DF,Arsenal,25,1997,33.2,86,2.59,76,5,1,2,0,2,7,0.21,6,0,0,1,0,0
562,Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
563,Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,31,1.70,23,1,1,4,1,1,4,0.22,3,0,1,0,0,0
564,Willian,br BRA,FW,Fulham,34,1988,22.8,111,4.87,81,15,4,9,2,0,10,0.44,10,0,0,0,0,0
565,Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,13,2.80,11,0,0,2,0,0,1,0.22,1,0,0,0,0,0
566,Callum Wilson,eng ENG,FW,Newcastle Utd,31,1992,11.0,22,2.00,12,0,4,5,1,0,4,0.36,2,0,1,1,0,0
567,Harry Wilson,wls WAL,FW,Fulham,26,1997,18.0,65,3.61,42,4,5,4,8,2,10,0.56,9,0,0,0,1,0
568,Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,64,2.31,43,1,4,7,7,2,10,0.36,6,0,1,1,2,0
569,Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,44,2.19,33,0,4,7,0,0,4,0.20,1,0,3,0,0,0
570,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,17,3.57,13,0,1,2,1,0,2,0.42,2,0,0,0,0,0
571,Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,3,0.62,2,0,0,1,0,0,1,0.21,1,0,0,0,0,0
572,Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,17,2.22,12,0,1,2,2,0,1,0.13,1,0,0,0,0,0
573,Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,22.1,30,1.36,22,0,0,5,3,0,4,0.18,3,0,0,1,0,0
574,Ashley Young,eng ENG,"DF,MF",Everton,38,1985,25.3,58,2.29,38,10,1,4,3,2,1,0.04,0,0,0,0,1,0
575,Illia Zabarnyi,ua UKR,DF,Bournemouth,20,2002,37.0,27,0.73,26,0,0,1,0,0,1,0.03,1,0,0,0,0,0
576,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,30,3.23,20,0,2,6,1,1,3,0.32,3,0,0,0,0,0
577,Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,2,1.18,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
578,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,1996,19.1,67,3.50,64,1,1,1,0,0,6,0.31,5,1,0,0,0,0
579,Kurt Zouma,fr FRA,DF,West Ham,28,1994,31.5,13,0.41,11,0,0,1,1,0,2,0.06,2,0,0,0,0,0
580,Martin Ødegaard,no NOR,MF,Arsenal,24,1998,34.3,220,6.41,178,17,8,10,6,1,23,0.67,18,2,0,2,1,0
